t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  5.00000000e+00   3.00000000e+00  7.00000000e-01   3.24010000e+00  3.24010000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  7.00000000e-01   5.24010000e+00  5.24010000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  7.00000000e-01   5.24010000e+00  5.24010000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  7.00000000e-01   5.24010000e+00  5.24010000e+00   0.00000000e+00

t = 7.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  7.50000000e-01   1.31640625e+00  1.31640625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  7.50000000e-01   1.31640625e+00  1.31640625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  7.50000000e-01   1.31640625e+00  1.31640625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  7.50000000e-01   3.31640625e+00  3.31640625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  7.50000000e-01   3.31725781e+00  3.31640625e+00   8.51562406e-04
  5.00000000e+00   3.00000000e+00  7.50000000e-01   3.31640625e+00  3.31640625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  7.50000000e-01   5.31640625e+00  5.31640625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  7.50000000e-01   5.31640625e+00  5.31640625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  7.50000000e-01   5.31640625e+00  5.31640625e+00   0.00000000e+00

t = 8.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  8.00000000e-01   1.40960000e+00  1.40960000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  8.00000000e-01   1.40960000e+00  1.40960000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  8.00000000e-01   1.40960000e+00  1.40960000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  8.00000000e-01   3.40960000e+00  3.40960000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  8.00000000e-01   3.41051406e+00  3.40960000e+00   9.14062478e-04
  5.00000000e+00   3.00000000e+00  8.00000000e-01   3.40960000e+00  3.40960000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  8.00000000e-01   5.40960000e+00  5.40960000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  8.00000000e-01   5.40960000e+00  5.40960000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  8.00000000e-01   5.40960000e+00  5.40960000e+00   0.00000000e+00

t = 8.50000000e-01
       r                 z               t               u               u*              |u-u*|
